NOMBRE;TIPO;DIFICULTAD;TIEMPO;REPETICIONES;SERIES;DESCRIPCION
Comandos;Tren superior;MEDIO;45;15;2;Acostado boca abajo, manten tu cuerpo en posicion rigido y recto, apoya la punta de pie en el suelo, comienza a elevarte solo con los brazos hasta tenerlos estirados como en posicion de plancha, luego baja y repite.
Flexiones de brazos;Tren superior;PRINCIPIANTE;16;8;2;Apoyate en el suelo boca abajo, apoya las manos a la altura de los hombros manteniendo la distancia y levanta el torso dejando las rodillas apoyadas en el suelo, flexiona los brazos.
Elevacion de piernas;Zona media;DIFICIL;30;1;3;Acostado boca arriba, apoya tus brazos cruzandolos sobre tu pecho, eleva solo tus piernas unos 30cm del suelo y cruzalos como tijeras en ambos sentidos de forma horizontal durante el tiempo indicado.
Crunch;Zona media;MEDIO;30;30;3;Acostado boca arriba, apoya los brazos estirado en el suelo y sube las piernas en posicion de la vela, balancealas en direccion a tu cabeza y luego vuelve a la vela. Repite las veces indicadas.
Comandos;Tren superior;PRINCIPIANTE;30;10;2;Acostado boca abajo, manten tu cuerpo en posicion rigido y recto, apoya la punta de pie en el suelo, comienza a elevarte solo con los brazos y apoyate en los antebrazos en posicion de plancha, luego baja y repite.
Elevacion invertida;Tren superior;DIFICIL;10;1;2;Acostado boca arriba y dobla tus brazos posicionando tus manos contra el piso a la altura de tu cabeza, sube tu cuerpo apoyandote en manos y pies en forma de aranna inclinandote y llevando tu peso hacia tus brazos.
Sentadillas;Tren inferior;MEDIO;40;20;3;De pie mirando al frente separa las piernas a la altura de tus hombros, utiliza un objeto de 1kg en cada mano, luego baja flexionando las rodillas hasta bajar lo mas que puedas, repite.
Superman;Tren superior;DIFICIL;50;1;2;Acostado boca abajo, estira brazos y piernas lo mas que puedas elevandola sin levantar torso. Manten el tiempo indicado
Abdominales;Zona media;PRINCIPIANTE;40;20;2;Acostado boca arriba y eleva rodillas apoyando pies, posiciona tus brazos estirados hacia adelante a la altura de tus hombros, levante el torso hasta tocar tus rodillas con tus manos, vuelve al piso y repite.
Bicicleta;Zona media;MEDIO;30;15;3;Acostado boca arriba pon tus manos en tu cabeza, eleva las piernas flexionadas unos 30cm del suelo sin tocarlo y lleva un codo a la rodilla contraria contrayendo el abdomen, vuelve a la posicion inicial y repite con la otra pierna y el codo contrario.
Superman;Tren superior;PRINCIPIANTE;20;1;2;Acostado boca abajo, estira brazos y piernas lo mas que puedas elevandola sin levantar torso. Manten el tiempo indicado
